[13:35:03:687]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司第三届监事会第五次会议决议公告/2014-12-25
[13:36:31:203]  处理错误公告...600267,中国民生银行股份有限公司关于股东权益变动的提示性公告/2014-12-26
[13:36:36:656]  upload _600267_DOCLST.dat
[13:36:36:953]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[13:36:36:953]  upload _StockDocIdxLst.dat
[13:36:37:171]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:36:37:187]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:37:08:453]  doclst.dat cls ok.
[13:37:08:453]  处理错误公告...600067,中国民生银行股份有限公司关于股东权益变动的提示性公告/2014-12-26
[13:37:14:468]  upload _600067_DOCLST.dat
[13:37:14:687]  ftp ok._600067_DOCLST.dat.192.168.88.183:21
[13:37:14:687]  upload _StockDocIdxLst.dat
[13:37:14:906]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:37:14:906]  Z:\CBData\Document\StockDocIdxLst\600067_DOCLST.dat cls ok.
[13:37:52:875]  doclst.dat cls ok.
[13:37:52:875]  处理错误公告...002241,徐工集团工程机械股份有限公司关于召开2014年第三次临时股东大会的提示性公告/2014-12-26
[13:37:53:421]  upload _002241_DOCLST.dat
[13:37:53:625]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[13:37:53:625]  upload _StockDocIdxLst.dat
[13:37:53:843]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:37:53:859]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[13:37:59:625]  doclst.dat cls ok.
[13:37:59:625]  处理错误公告...600067,三一重工股份有限公司关于股东协议转让公司股份完成过户登记的公告/2014-12-27
[13:38:05:828]  upload _600067_DOCLST.dat
[13:38:06:093]  ftp ok._600067_DOCLST.dat.192.168.88.183:21
[13:38:06:093]  upload _StockDocIdxLst.dat
[13:38:06:421]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:38:06:421]  Z:\CBData\Document\StockDocIdxLst\600067_DOCLST.dat cls ok.
[13:38:45:109]  doclst.dat cls ok.
[13:38:45:109]  处理错误公告...600267,格力地产股份有限公司关于签订战略合作框架协议的公告/2014-12-27
[13:38:49:859]  upload _600267_DOCLST.dat
[13:38:50:062]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[13:38:50:062]  upload _StockDocIdxLst.dat
[13:38:50:281]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:38:50:281]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:39:21:390]  doclst.dat cls ok.
[13:39:21:390]  处理错误公告...600037,中国民生银行股份有限公司关于股东权益变动的提示性公告/2014-12-26
[13:39:25:187]  upload _600037_DOCLST.dat
[13:39:25:500]  ftp ok._600037_DOCLST.dat.192.168.88.183:21
[13:39:25:500]  upload _StockDocIdxLst.dat
[13:39:25:718]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:39:25:718]  Z:\CBData\Document\StockDocIdxLst\600037_DOCLST.dat cls ok.
[13:39:53:531]  doclst.dat cls ok.
[13:39:53:546]  处理错误公告...002462,江苏通鼎光电股份有限公司2014年第四次临时股东大会见证的法律意见书/2014-12-25
[13:39:53:843]  upload _002462_DOCLST.dat
[13:39:54:046]  ftp ok._002462_DOCLST.dat.192.168.88.183:21
[13:39:54:046]  upload _StockDocIdxLst.dat
[13:39:54:250]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:39:54:265]  Z:\CBData\Document\StockDocIdxLst\002462_DOCLST.dat cls ok.
[13:39:58:843]  doclst.dat cls ok.
[13:39:58:843]  处理错误公告...601988,上海电气集团股份有限公司关于公开发行A股可转换公司债券方案获中国证券监督管理委员会审核通过的公告/2014-12-25
[13:40:01:093]  upload _601988_DOCLST.dat
[13:40:01:265]  ftp ok._601988_DOCLST.dat.192.168.88.183:21
[13:40:01:265]  upload _StockDocIdxLst.dat
[13:40:01:593]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:40:01:593]  Z:\CBData\Document\StockDocIdxLst\601988_DOCLST.dat cls ok.
[13:40:21:406]  doclst.dat cls ok.
[13:40:21:406]  处理错误公告...601988,上海电气集团股份有限公司关于接受委托研发的关联交易公告/2014-12-25
[13:40:23:828]  upload _601988_DOCLST.dat
[13:40:24:015]  ftp ok._601988_DOCLST.dat.192.168.88.183:21
[13:40:24:015]  upload _StockDocIdxLst.dat
[13:40:24:234]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:40:24:234]  Z:\CBData\Document\StockDocIdxLst\601988_DOCLST.dat cls ok.
[13:40:44:281]  doclst.dat cls ok.
[13:40:44:281]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司募集资金管理办法（2014年12月）/2014-12-25
[13:40:44:765]  upload _600023_DOCLST.dat
[13:40:45:015]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:40:45:015]  upload _StockDocIdxLst.dat
[13:40:45:343]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:40:45:343]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:40:51:468]  doclst.dat cls ok.
[13:40:51:468]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司前次募集资金使用情况鉴证报告/2014-12-25
[13:40:51:937]  upload _600023_DOCLST.dat
[13:40:52:234]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:40:52:234]  upload _StockDocIdxLst.dat
[13:40:52:562]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:40:52:562]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:40:58:640]  doclst.dat cls ok.
[13:40:58:640]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司关联交易管理办法（2014年12月）/2014-12-25
[13:40:59:109]  upload _600023_DOCLST.dat
[13:40:59:234]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:40:59:234]  upload _StockDocIdxLst.dat
[13:40:59:453]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:40:59:453]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:41:05:562]  doclst.dat cls ok.
[13:41:05:562]  处理错误公告...600067,中国民生银行股份有限公司关于实施2014年中期利润分配时“民生转债”转股连续停牌的提示性公告/2014-12-25
[13:41:11:609]  upload _600067_DOCLST.dat
[13:41:11:812]  ftp ok._600067_DOCLST.dat.192.168.88.183:21
[13:41:11:812]  upload _StockDocIdxLst.dat
[13:41:12:140]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:41:12:140]  Z:\CBData\Document\StockDocIdxLst\600067_DOCLST.dat cls ok.
[13:41:50:343]  doclst.dat cls ok.
[13:41:50:343]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司第三届董事会第二十六次会议决议公告/2014-12-25
[13:41:50:953]  upload _600023_DOCLST.dat
[13:41:51:187]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:41:51:187]  upload _StockDocIdxLst.dat
[13:41:51:406]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:41:51:421]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:41:57:640]  doclst.dat cls ok.
[13:41:57:640]  处理错误公告...002241,招商局地产控股股份有限公司关于收到《中国证监会行政许可申请受理通知书》的公告/2014-12-26
[13:41:58:078]  upload _002241_DOCLST.dat
[13:41:58:406]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[13:41:58:406]  upload _StockDocIdxLst.dat
[13:41:58:734]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:41:58:750]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[13:42:04:375]  doclst.dat cls ok.
[13:42:04:375]  处理错误公告...601988,上海电气集团股份有限公司关于海外项目自愿性公告/2014-12-26
[13:42:06:656]  upload _601988_DOCLST.dat
[13:42:06:828]  ftp ok._601988_DOCLST.dat.192.168.88.183:21
[13:42:06:828]  upload _StockDocIdxLst.dat
[13:42:07:046]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:42:07:046]  Z:\CBData\Document\StockDocIdxLst\601988_DOCLST.dat cls ok.
[13:42:27:234]  doclst.dat cls ok.
[13:42:27:234]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司关于召开2015年第一次临时股东大会通知/2014-12-25
[13:42:27:734]  upload _600023_DOCLST.dat
[13:42:27:937]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:42:27:937]  upload _StockDocIdxLst.dat
[13:42:28:265]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:42:28:265]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:42:34:359]  doclst.dat cls ok.
[13:42:34:375]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司2014年第五次临时股东大会决议公告/2014-12-25
[13:42:34:843]  upload _600023_DOCLST.dat
[13:42:35:046]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:42:35:046]  upload _StockDocIdxLst.dat
[13:42:35:265]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:42:35:265]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:42:41:421]  doclst.dat cls ok.
[13:42:41:421]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司2014年第五次临时股东大会的法律意见/2014-12-25
[13:42:41:921]  upload _600023_DOCLST.dat
[13:42:42:156]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:42:42:156]  upload _StockDocIdxLst.dat
[13:42:42:375]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:42:42:375]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:42:48:515]  doclst.dat cls ok.
[13:42:48:515]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司监事会议事规则（2014年12月）/2014-12-25
[13:42:48:968]  upload _600023_DOCLST.dat
[13:42:49:265]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:42:49:265]  upload _StockDocIdxLst.dat
[13:42:49:593]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:42:49:593]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:42:55:703]  doclst.dat cls ok.
[13:42:55:718]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司独立董事关于相关担保事项的独立意见/2014-12-25
[13:42:56:187]  upload _600023_DOCLST.dat
[13:42:56:375]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:42:56:375]  upload _StockDocIdxLst.dat
[13:42:56:593]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:42:56:593]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:43:02:687]  doclst.dat cls ok.
[13:43:02:687]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司独立董事工作制度（2014年12月）/2014-12-25
[13:43:03:140]  upload _600023_DOCLST.dat
[13:43:03:484]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:43:03:484]  upload _StockDocIdxLst.dat
[13:43:03:812]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:43:03:812]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:43:09:984]  doclst.dat cls ok.
[13:43:09:984]  处理错误公告...601988,上海电气集团股份有限公司出售资产关联交易公告/2014-12-25
[13:43:12:265]  upload _601988_DOCLST.dat
[13:43:12:453]  ftp ok._601988_DOCLST.dat.192.168.88.183:21
[13:43:12:453]  upload _StockDocIdxLst.dat
[13:43:12:671]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:43:12:687]  Z:\CBData\Document\StockDocIdxLst\601988_DOCLST.dat cls ok.
[13:43:32:625]  doclst.dat cls ok.
[13:43:32:625]  处理错误公告...600067,三一重工股份有限公司重大经营合同的公告/2014-12-25
[13:43:38:843]  upload _600067_DOCLST.dat
[13:43:39:140]  ftp ok._600067_DOCLST.dat.192.168.88.183:21
[13:43:39:140]  upload _StockDocIdxLst.dat
[13:43:39:359]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:43:39:359]  Z:\CBData\Document\StockDocIdxLst\600067_DOCLST.dat cls ok.
[13:44:17:953]  doclst.dat cls ok.
[13:44:17:953]  处理错误公告...002462,江苏通鼎光电股份有限公司2014年第四次临时股东大会决议公告/2014-12-25
[13:44:18:375]  upload _002462_DOCLST.dat
[13:44:18:515]  ftp ok._002462_DOCLST.dat.192.168.88.183:21
[13:44:18:515]  upload _StockDocIdxLst.dat
[13:44:18:734]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:44:18:750]  Z:\CBData\Document\StockDocIdxLst\002462_DOCLST.dat cls ok.
[13:44:23:515]  doclst.dat cls ok.
[13:44:23:562]  处理错误公告...002462,江苏通鼎光电股份有限公司公司章程（2014年12月）/2014-12-25
[13:44:23:875]  upload _002462_DOCLST.dat
[13:44:24:203]  ftp ok._002462_DOCLST.dat.192.168.88.183:21
[13:44:24:203]  upload _StockDocIdxLst.dat
[13:44:24:531]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:44:24:531]  Z:\CBData\Document\StockDocIdxLst\002462_DOCLST.dat cls ok.
[13:44:29:265]  doclst.dat cls ok.
[13:44:29:265]  处理错误公告...600023,江苏双星彩塑新材料股份有限公司关于流动资金归还募集资金帐户的公告/2014-12-25
[13:44:29:734]  upload _600023_DOCLST.dat
[13:44:30:000]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:44:30:000]  upload _StockDocIdxLst.dat
[13:44:30:328]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:44:30:328]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:44:36:484]  doclst.dat cls ok.
[13:44:36:484]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司对外担保制度（2014年12月）/2014-12-25
[13:44:36:937]  upload _600023_DOCLST.dat
[13:44:37:109]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:44:37:109]  upload _StockDocIdxLst.dat
[13:44:37:328]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:44:37:328]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:44:43:656]  doclst.dat cls ok.
[13:44:43:671]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司对外投资制度（2014年12月）/2014-12-25
[13:44:44:125]  upload _600023_DOCLST.dat
[13:44:44:437]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:44:44:437]  upload _StockDocIdxLst.dat
[13:44:44:765]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:44:44:765]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:44:50:953]  doclst.dat cls ok.
[13:44:50:953]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司担保公告/2014-12-25
[13:44:51:437]  upload _600023_DOCLST.dat
[13:44:51:656]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:44:51:656]  upload _StockDocIdxLst.dat
[13:44:51:875]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:44:51:875]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:44:58:062]  doclst.dat cls ok.
[13:44:58:062]  处理错误公告...600267,格力地产股份有限公司关于与弘翌投资联合中标土地的公告/2014-12-25
[13:45:02:671]  upload _600267_DOCLST.dat
[13:45:02:812]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[13:45:02:812]  upload _StockDocIdxLst.dat
[13:45:03:078]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:45:03:093]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:45:34:062]  doclst.dat cls ok.
[13:45:34:062]  处理错误公告...600267,格力地产股份有限公司关于与关联方联合竞买地块的关联交易公告/2014-12-25
[13:45:39:593]  upload _600267_DOCLST.dat
[13:45:39:781]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[13:45:39:781]  upload _StockDocIdxLst.dat
[13:45:40:000]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:45:40:015]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:46:12:250]  doclst.dat cls ok.
[13:46:12:250]  处理错误公告...600037,中国民生银行股份有限公司关于实施2014年中期利润分配时“民生转债”转股连续停牌的提示性公告/2014-12-25
[13:46:16:187]  upload _600037_DOCLST.dat
[13:46:16:312]  ftp ok._600037_DOCLST.dat.192.168.88.183:21
[13:46:16:312]  upload _StockDocIdxLst.dat
[13:46:16:578]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:46:16:593]  Z:\CBData\Document\StockDocIdxLst\600037_DOCLST.dat cls ok.
[13:46:51:203]  doclst.dat cls ok.
[13:46:51:203]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司公司章程（2014年12月）/2014-12-25
[13:46:52:000]  upload _600023_DOCLST.dat
[13:46:52:171]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:46:52:171]  upload _StockDocIdxLst.dat
[13:46:52:375]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:46:52:406]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:46:59:750]  doclst.dat cls ok.
[13:46:59:750]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司董事会议事规则（2014年12月）/2014-12-25
[13:47:00:531]  upload _600023_DOCLST.dat
[13:47:00:718]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:47:00:718]  upload _StockDocIdxLst.dat
[13:47:00:921]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:47:00:937]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:47:07:953]  doclst.dat cls ok.
[13:47:07:953]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司董事、监事和高级管理人员内部问责制度（2014年12月）/2014-12-25
[13:47:08:625]  upload _600023_DOCLST.dat
[13:47:08:765]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:47:08:765]  upload _StockDocIdxLst.dat
[13:47:08:968]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:47:08:984]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:47:15:671]  doclst.dat cls ok.
[13:47:15:671]  处理错误公告...600267,格力地产股份有限公司公开发行可转换公司债券网上路演公告/2014-12-23
[13:47:20:578]  upload _600267_DOCLST.dat
[13:47:20:734]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[13:47:20:734]  upload _StockDocIdxLst.dat
[13:47:20:937]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:47:20:953]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:47:54:953]  doclst.dat cls ok.
[13:47:54:953]  处理错误公告...600267,格力地产股份有限公司董事会决议公告/2014-12-23
[13:47:59:906]  upload _600267_DOCLST.dat
[13:48:00:062]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[13:48:00:062]  upload _StockDocIdxLst.dat
[13:48:00:265]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:48:00:281]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:48:33:984]  doclst.dat cls ok.
[13:48:33:984]  处理错误公告...002462,江苏通鼎光电股份有限公司关于召开2014年第四次临时股东大会的提示公告/2014-12-23
[13:48:34:328]  upload _002462_DOCLST.dat
[13:48:34:468]  ftp ok._002462_DOCLST.dat.192.168.88.183:21
[13:48:34:468]  upload _StockDocIdxLst.dat
[13:48:34:671]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:48:34:671]  Z:\CBData\Document\StockDocIdxLst\002462_DOCLST.dat cls ok.
[13:48:39:593]  doclst.dat cls ok.
[13:48:39:609]  处理错误公告...600267,中国民生银行股份有限公司2014年第二次临时股东大会、2014年第一次A股类别股东大会和2014年第一次H股类别股东大会决议公告/2014-12-24
[13:48:44:453]  upload _600267_DOCLST.dat
[13:48:44:625]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[13:48:44:625]  upload _StockDocIdxLst.dat
[13:48:44:828]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:48:44:843]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:49:18:296]  doclst.dat cls ok.
[13:49:18:296]  处理错误公告...600267,格力地产股份有限公司股票交易异常波动公告/2014-12-24
[13:49:23:281]  upload _600267_DOCLST.dat
[13:49:23:453]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[13:49:23:453]  upload _StockDocIdxLst.dat
[13:49:23:656]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:49:23:671]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:49:58:421]  doclst.dat cls ok.
[13:49:58:421]  处理错误公告...600037,中国民生银行股份有限公司2014年第二次临时股东大会、2014年第一次A股类别股东大会和2014年第一次H股类别股东大会决议公告/2014-12-24
[13:50:02:453]  upload _600037_DOCLST.dat
[13:50:02:578]  ftp ok._600037_DOCLST.dat.192.168.88.183:21
[13:50:02:578]  upload _StockDocIdxLst.dat
[13:50:02:781]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:50:02:796]  Z:\CBData\Document\StockDocIdxLst\600037_DOCLST.dat cls ok.
[13:50:33:218]  doclst.dat cls ok.
[13:50:33:218]  处理错误公告...600067,中国民生银行股份有限公司2014年第二次临时股东大会、2014年第一次A股类别股东大会和2014年第一次H股类别股东大会决议公告/2014-12-24
[13:50:39:718]  upload _600067_DOCLST.dat
[13:50:39:890]  ftp ok._600067_DOCLST.dat.192.168.88.183:21
[13:50:39:906]  upload _StockDocIdxLst.dat
[13:50:40:093]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:50:40:109]  Z:\CBData\Document\StockDocIdxLst\600067_DOCLST.dat cls ok.
[13:51:22:515]  doclst.dat cls ok.
[13:51:22:515]  处理错误公告...601988,吉视传媒股份有限公司关于与北京歌华有线电视网络股份有限公司签订电视院线项目合作协议的公告/2014-12-24
[13:51:24:984]  upload _601988_DOCLST.dat
[13:51:25:156]  ftp ok._601988_DOCLST.dat.192.168.88.183:21
[13:51:25:171]  upload _StockDocIdxLst.dat
[13:51:25:359]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:51:25:375]  Z:\CBData\Document\StockDocIdxLst\601988_DOCLST.dat cls ok.
[13:51:46:765]  doclst.dat cls ok.
[13:51:46:765]  处理错误公告...601988,吉视传媒股份有限公司关于与北京歌华有线电视网络股份有限公司签订视频点播业务合作协议的公告/2014-12-24
[13:51:49:406]  upload _601988_DOCLST.dat
[13:51:49:609]  ftp ok._601988_DOCLST.dat.192.168.88.183:21
[13:51:49:609]  upload _StockDocIdxLst.dat
[13:51:49:812]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:51:49:812]  Z:\CBData\Document\StockDocIdxLst\601988_DOCLST.dat cls ok.
[13:52:11:640]  doclst.dat cls ok.
[13:52:11:640]  处理错误公告...600267,中国民生银行股份有限公司关于实施2014年中期利润分配时“民生转债”转股连续停牌的提示性公告/2014-12-25
[13:52:16:765]  upload _600267_DOCLST.dat
[13:52:16:968]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[13:52:16:968]  upload _StockDocIdxLst.dat
[13:52:17:171]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:52:17:187]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:52:50:843]  doclst.dat cls ok.
[13:52:50:843]  处理错误公告...600067,三一重工股份有限公司简式权益变动报告书/2014-12-20
[13:52:57:375]  upload _600067_DOCLST.dat
[13:52:57:609]  ftp ok._600067_DOCLST.dat.192.168.88.183:21
[13:52:57:609]  upload _StockDocIdxLst.dat
[13:52:57:796]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:52:57:812]  Z:\CBData\Document\StockDocIdxLst\600067_DOCLST.dat cls ok.
[13:53:38:718]  doclst.dat cls ok.
[13:53:38:734]  处理错误公告...600067,中国民生银行股份有限公司详式权益变动报告书/2014-12-20
[13:53:45:312]  upload _600067_DOCLST.dat
[13:53:45:484]  ftp ok._600067_DOCLST.dat.192.168.88.183:21
[13:53:45:484]  upload _StockDocIdxLst.dat
[13:53:45:671]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:53:45:687]  Z:\CBData\Document\StockDocIdxLst\600067_DOCLST.dat cls ok.
[13:54:27:125]  doclst.dat cls ok.
[13:54:27:140]  处理错误公告...600067,三一重工股份有限公司关于控股股东协议转让所持部分股份的提示性公告/2014-12-20
[13:54:33:546]  upload _600067_DOCLST.dat
[13:54:33:765]  ftp ok._600067_DOCLST.dat.192.168.88.183:21
[13:54:33:765]  upload _StockDocIdxLst.dat
[13:54:34:062]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:54:34:078]  Z:\CBData\Document\StockDocIdxLst\600067_DOCLST.dat cls ok.
[13:55:15:156]  doclst.dat cls ok.
[13:55:15:156]  处理错误公告...600267,中国民生银行股份有限公司详式权益变动报告书/2014-12-20
[13:55:20:078]  upload _600267_DOCLST.dat
[13:55:20:234]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
